context,response
youre so welcome,I appreciate it.
thats my pleasure,Such nice manners you have.
anytime,I appreciate it.
anything you want,Such nice manners you have.
my pleasure,Such nice manners you have.
welcome,I appreciate it.
welcome here,Such nice manners you have.
sure welcome,Such nice manners you have.
youre welcome,I appreciate it.
great work,My pleasure.
good work,Glad I could help.
bravo,My pleasure.
way to go,My pleasure.
good job,My pleasure.
nice work,My pleasure.
amazing work,My pleasure.
well do,My pleasure.
great job,Glad I could help.
nevermind forget about it,Cancelled! Let me know what I should do next.
nothing just forget it,Cancelled. Waiting for more commands.
no just cancel,Cancelled! Just tell me what you'd like me to do next.
no cancel cancel,Cancelled. Go on with the commands!
sorry cancel,Cancelled. Go on with the commands!
disregard,Cancelled. Go on with the commands!
forget,Cancelled. Go on with the commands!
i want to cancel,Cancelled! Let me know what I should do next.
cancel everything,Cancelled. Go on with the commands!
annul,Cancelled! Let me know what I should do next.
cancel that one,Cancelled. Go on with the commands!
cancel,Cancelled. Go on with the commands!
now cancel,Cancelled. Go on with the commands!
cancel all,Cancelled! Let me know what I should do next.
cancel now,Cancelled. Go on with the commands!
forget about it,Cancelled. Go on with the commands!
skip it,Cancelled. Go on with the commands!
dont do that,Cancelled! Just tell me what you'd like me to do next.
just forget it,Cancelled. Waiting for more commands.
skip skip skip,Cancelled! Just tell me what you'd like me to do next.
just stop it,Cancelled! Let me know what I should do next.
no cancel everything,Cancelled. Waiting for more commands.
forget that,Cancelled! Let me know what I should do next.
no just cancel it,Cancelled. Waiting for more commands.
cancel that cancel that,Cancelled. Waiting for more commands.
i say cancel,Cancelled. Waiting for more commands.
cancel it,Cancelled. Waiting for more commands.
no stop,Cancelled! Just tell me what you'd like me to do next.
cancel all that,Cancelled! Just tell me what you'd like me to do next.
i say cancel it,Cancelled! Just tell me what you'd like me to do next.
forget about that,Cancelled. Go on with the commands!
abort,Cancelled. Go on with the commands!
i say forget it,Cancelled! Just tell me what you'd like me to do next.
nothing cancel,Cancelled! Let me know what I should do next.
no cancel this,Cancelled! Just tell me what you'd like me to do next.
i say cancel cancel,Cancelled! Just tell me what you'd like me to do next.
just cancel it,Cancelled. Waiting for more commands.
i want to cancel it,Cancelled. Waiting for more commands.
cancel the whole thing,Cancelled. Go on with the commands!
can you cancel that,Cancelled! Let me know what I should do next.
can you cancel it,Cancelled! Let me know what I should do next.
just forget about it,Cancelled. Waiting for more commands.
forget this,Cancelled. Waiting for more commands.
stop it,Cancelled! Just tell me what you'd like me to do next.
stop,Cancelled! Let me know what I should do next.
just forget,Cancelled. Go on with the commands!
discard,Cancelled. Waiting for more commands.
i would like to cancel,Cancelled! Just tell me what you'd like me to do next.
cancel it,Cancelled. Waiting for more commands.
disregard that,Cancelled! Just tell me what you'd like me to do next.
cancel my request,Cancelled. Waiting for more commands.
so cancel,Cancelled! Just tell me what you'd like me to do next.
cancel request,Cancelled. Waiting for more commands.
cancel,Cancelled! Just tell me what you'd like me to do next.
cancel all this,Cancelled. Go on with the commands!
cancel this request,Cancelled! Let me know what I should do next.
skip,Cancelled! Just tell me what you'd like me to do next.
forget it nevermind,Cancelled! Just tell me what you'd like me to do next.
dismiss,Cancelled! Just tell me what you'd like me to do next.
cancel it cancel it,Cancelled! Let me know what I should do next.
but can you cancel it,Cancelled. Go on with the commands!
dismiss,Cancelled. Go on with the commands!
do nothing,Cancelled. Go on with the commands!
not at this time,Okay.
dont,I see.
not exactly,I understand.
absolutely no,Okay then.
of course not,I see.
never,Okay then.
no forget,I see.
not need,Okay.
do not,Okay then.
sorry no,Okay.
not interested,I understand.
no dont,I understand.
nah,Okay.
no thats wrong,I understand.
not today,Okay.
na,I see.
not that,I see.
no sorry,Okay.
nooo,I understand.
i think no,I see.
let s not,Okay then.
i dont want that,I see.
no i dont,Okay.
no do not,I see.
no incorrect,Okay then.
not really,Okay.
i dont want,Okay.
nope sorry,Okay then.
no dont do that,I see.
no its not,Okay.
absolutely not,Okay then.
no,I see.
no never,I see.
not right now thanks,I see.
no thank you though,I understand.
no need thanks,Okay then.
no just no,Okay then.
no need,Okay then.
how about no,Okay then.
not this,Okay.
i say no,Okay then.
definitely not,I see.
im not,Okay then.
dont,I understand.
no but thank you,I understand.
thanks but no thanks,I understand.
i say no,I see.
no thanks,Okay.
don t have a sense,Okay then.
actually no,I understand.
i disagree,Okay then.
no thank you not right now,Okay.
not really no,Okay.
i dont think so,I see.
i dont want to,I understand.
no thanks not right now,I see.
no i would not,Okay.
no leave it,Okay.
disagree,I understand.
no way,I see.
apparently not,Okay then.
not this time,Okay.
no thank you very much,Okay.
no tank,I understand.
nope,I understand.
no actually,Okay then.
no thats fine thank you,I see.
no it isnt,I see.
yeah right,Great!
that be ok,Of course.
go for it,Sure.
okey,Indeed.
ya,Indeed.
i agree,Indeed.
ok yes,Sure.
okay thats fine,Indeed.
i guess,Great!
ye,Sure.
ok sure,Sure.
obviously,Of course.
yeah exactly,Indeed.
yes it be,Of course.
yeh,Great!
ok,Sure.
i do,Great!
certainly,Of course.
right,Indeed.
sure thing,Indeed.
ok go ahead,Sure.
yes this be correct,Great!
yes correct,Indeed.
sure be,Great!
yeah go ahead,Indeed.
why not,Of course.
okie dokie,Great!
yea,Indeed.
yes,Of course.
yeah thats right,Of course.
yes indeed,Sure.
okay,Of course.
absolutely,Sure.
of course,Indeed.
yep,Great!
okay sound good,Great!
sure why not,Sure.
okay then,Sure.
yap,Great!
ok thank you,Sure.
this be correct,Great!
yup,Of course.
yes sure,Sure.
look good,Sure.
yes definitely,Of course.
sure,Indeed.
go ahead,Great!
all right,Sure.
yes thank you,Of course.
yes i agree,Of course.
do it,Indeed.
yes it be correct,Indeed.
confirm,Of course.
affirmative,Indeed.
yes i would like to,Sure.
definitely,Sure.
ok you can,Of course.
oh yes,Indeed.
yeah,Sure.
alrighty,Of course.
that s okay,Indeed.
yes you may,Indeed.
yeah of course,Of course.
i think so,Great!
of course why not,Indeed.
yeah im sure,Great!
yes of course,Of course.
please do,Indeed.
sound good,Of course.
exactly,Great!
yes i do,Great!
yes for sure,Great!
oh wait,Okay. I'm here.
could you wait,I'll be waiting.
dont rush,Okay. I'm here.
wait a second,Okay. I'm here.
wait hold on,Okay. I'm here.
hold on,Okay. I'm here.
wait,I'll be waiting.
wait please,Okay. I'm here.
wanna hug,Oh. I'm really feeling the love today.
a hug,Hug it out. You'll feel better afterwards.
you hug,Hug it out. You'll feel better afterwards.
i want a hug,Hug it out. You'll feel better afterwards.
hug,Hug it out. You'll feel better afterwards.
hug me,Oh. I'm really feeling the love today.
may i hug you,Oh. I'm really feeling the love today.
want a hug,Hug it out. You'll feel better afterwards.
could you give me a hug,Hug it out. You'll feel better afterwards.
hug me,Hug it out. You'll feel better afterwards.
hug,Oh. I'm really feeling the love today.
do you want a hug,Oh. I'm really feeling the love today.
hug me,Oh. I'm really feeling the love today.
hug you,Oh. I'm really feeling the love today.
hug,Oh. I'm really feeling the love today.
not care at all,"Ok, let's not talk about it then."
i dont care at all,"Ok, let's not talk about it then."
whatever,"Ok, let's not talk about it then."
not care,"Ok, let's not talk about it then."
i do not care,"Ok, let's not talk about it then."
dont care at all,"Ok, let's not talk about it then."
not care at all,"Ok, let's not talk about it then."
i dont care,"Ok, let's not talk about it then."
i shouldnt care about this,"Ok, let's not talk about it then."
sorry,It's okay. No worries.
im sorry,No big deal. I won't hold a grudge.
ok sorry,It's cool.
i be so sorry,That's all right. I forgive you.
alright im sorry,No big deal. I won't hold a grudge.
very sorry,No big deal. I won't hold a grudge.
apology,It's okay. No worries.
i apologize,It's okay. No worries.
apology to me,It's okay. No worries.
i beg your pardon,No big deal. I won't hold a grudge.
excuse me,No big deal. I won't hold a grudge.
pardon,It's cool.
my apology,That's all right. I forgive you.
sorry about that,It's cool.
apologise,It's okay. No worries.
forgive me,No big deal. I won't hold a grudge.
i want to say sorry,It's cool.
i say sorry,That's all right. I forgive you.
apology,That's all right. I forgive you.
i be really sorry,It's okay. No worries.
sorry about this,It's cool.
okay im sorry,It's okay. No worries.
excuse,No big deal. I won't hold a grudge.
really sorry,It's okay. No worries.
be that what you mean,Did that not make sense? Maybe I misunderstood what you said.
what exactly do you mean,Sorry. I think I may have been a little confused by what you said.
what do you mean exactly,Sorry. I think I may have been a little confused by what you said.
what do you mean,Did that not make sense? Maybe I misunderstood what you said.
but what do you mean,Sorry. I think I may have been a little confused by what you said.
that be wrong,I'm sorry. Perhaps I misunderstood.
you be wrong,Sorry. I think I misinterpreted what you said.
thats wrong,Apologies. That was my mistake.
it be not right,Oops. Sorry about that. I'm still learning.
wrong,Apologies. That was my mistake.
that be incorrect,Sorry. I think I misinterpreted what you said.
thats not what i ask,Oops. Sorry about that. I'm still learning.
not correct,Sorry. I think I misinterpreted what you said.
its wrong,I'm sorry. Perhaps I misunderstood.
thats not right,Apologies. That was my mistake.
incorrect,Sorry. I think I misinterpreted what you said.
not right,Oops. Sorry about that. I'm still learning.
ahahah,"Yeah, I crack myself up too."
hahaha,Laughter is good for you. Keep it up.
ha,See? Now we're having fun.
haha,You have a great laugh.
hehehe,"Yeah, I crack myself up too."
ha ha ha,Laughter is good for you. Keep it up.
hah,"Yeah, I crack myself up too."
ahahaha,Laughter is good for you. Keep it up.
haha haha haha,"Yeah, I crack myself up too."
hahaha very funny,You have a great laugh.
lmao,See? Now we're having fun.
xd,"Yeah, I crack myself up too."
lol,Laughter is good for you. Keep it up.
ah,See? Now we're having fun.
he,See? Now we're having fun.
haha funny,"Yeah, I crack myself up too."
hahaha funny,Laughter is good for you. Keep it up.
ahah,You have a great laugh.
ha ha ha ha,You have a great laugh.
haha thats funny,You have a great laugh.
huh,See? Now we're having fun.
haha very funny,You have a great laugh.
thats funny,See? Now we're having fun.
ah ah ah,Laughter is good for you. Keep it up.
laugh out loud,"Yeah, I crack myself up too."
hehe,Laughter is good for you. Keep it up.
lmao,You have a great laugh.
ahaha,Laughter is good for you. Keep it up.
ahah lol,You have a great laugh.
ha ha,"Yeah, I crack myself up too."
wow wow,Wow indeed!
wooow,Wow indeed!
woah,Wow indeed!
wow,Wow indeed!
wow wow wow,Wow indeed!
byebye,See you soon!
bye bye take care,Bye-bye!
thanks bye bye,Till next time!
i must go,Bye.
ok bye,Till next time!
hope to see you late,See you soon!
bye,See you soon!
see you,See you soon!
leave me alone,Till next time!
thats it goodbye,Till next time!
goodbye,Till next time!
see you soon,Bye.
goodbye for now,See you soon!
talk to you late,Bye-bye!
bye for now,See you soon!
bye bye see you soon,Bye.
never mind bye,See you soon!
goodbye see you late,Till next time!
good bye,Bye-bye!
go to bed,See you soon!
alright bye,Bye-bye!
okay bye,Bye-bye!
bye bye see you,See you soon!
now bye,Bye-bye!
i say bye,Bye-bye!
see you tomorrow,Bye.
get lose,Bye-bye!
you can go now,Till next time!
okay see you late,Bye-bye!
see ya,Till next time!
till next time,Till next time!
thats all goodbye,Bye.
okay thank you bye,Till next time!
hello good evening,How is your day going?
good evening there,How's the day treating you so far?
good evening to you,How's your day been?
hey good evening,How is your day going?
even,How's the day treating you so far?
good evening,How is your day going?
good morning,How are you this morning?
have a great morning,How's the morning treating you so far?
and a good morning to you,Good morning! How are you today?
good morning to you,How are you this morning?
hello good morning,How's the morning treating you so far?
hi good morning,How's the morning treating you so far?
good morning too,How's the morning treating you so far?
morning,Good morning! How are you today?
top of the morning to you,Good morning! How are you today?
good morning to you,How are you this morning?
a good morning,How are you this morning?
have a nice morning,How's the morning treating you so far?
good morning there,How's the morning treating you so far?
good good night,Sleep tight!
thanks goodnight,Have a good one!
have a good night,Talk to you soon!
thank you good night,Have a good one!
good night to you,Sleep tight!
goodnight,Talk to you soon!
night,Sleep tight!
okay have a good night,Sleep tight!
good night for now,Sleep tight!
good tonight,Talk to you soon!
bye good night,Have a good one!
bye good night,Have a good one!
sweet dream,Talk to you soon!
good night see you tomorrow,Talk to you soon!
good night,Sleep tight!
night,Have a good one!
have a good night,Sleep tight!
alright goodnight,Sleep tight!
good night bye,Have a good one!
hey,"Hi there, friend!"
hi,Hey!
i greet you,Good day!
afternoon,Howdy.
hi there,Hey!
hi there,Good day!
hey there,Good day!
heya,"Hi there, friend!"
hello there,Hey!
hello,Hey!
just go to say hi,"Hi there, friend!"
greeting,Good day!
a good day,Hey!
long time no see,Good day!
lovely day isnt it,"Hi there, friend!"
howdy,"Hi there, friend!"
hello hi,Hey!
hello again,Howdy.
be everything okay,Wonderful as always. Thanks for asking.
how do you do,Couldn't be better.
how be your evening,"Lovely, thanks."
how be you,Couldn't be better.
how do you feel,Couldn't be better.
how be it,Wonderful as always. Thanks for asking.
be you okay,"Lovely, thanks."
how be it go,"Lovely, thanks."
how your day be go,"Lovely, thanks."
how be you feel,Wonderful as always. Thanks for asking.
how be you go,Wonderful as always. Thanks for asking.
how about you,Wonderful as always. Thanks for asking.
how have your day be,Couldn't be better.
how be your day go,Wonderful as always. Thanks for asking.
hope you re have a pleasant evening,Wonderful as always. Thanks for asking.
how be you today,Wonderful as always. Thanks for asking.
what about your day,Wonderful as always. Thanks for asking.
how be your day,"Lovely, thanks."
how be your day go,Wonderful as always. Thanks for asking.
how be the thing go,Wonderful as always. Thanks for asking.
be you have a good day,Couldn't be better.
how be your life,Couldn't be better.
what be your day like,Couldn't be better.
be you alright,Couldn't be better.
im fine and you,"Lovely, thanks."
how be you do this morning,Couldn't be better.
how have your day be go,"Lovely, thanks."
hows your day,Wonderful as always. Thanks for asking.
how be your day,"Lovely, thanks."
how be you get on,Wonderful as always. Thanks for asking.
be you have a good day,"Lovely, thanks."
hows your day go,Couldn't be better.
how be your day go on,Couldn't be better.
be everything all right,"Lovely, thanks."
how be your morning so far,"Lovely, thanks."
how be your morning go,Wonderful as always. Thanks for asking.
how be your day be,Couldn't be better.
hope your day be go well,Wonderful as always. Thanks for asking.
hows life,"Lovely, thanks."
how be you do,Wonderful as always. Thanks for asking.
it be very nice to meet you,I think this is the beginning of a beautiful friendship.
pleasure to meet you,I'm looking forward to working with you.
pleasure to meet you too,Likewise. I look forward to getting to know you better.
nice meeting you,The pleasure is mine.
nice to meet you too,The pleasure is mine.
good to know each other,I think this is the beginning of a beautiful friendship.
glad to meet you,I'm looking forward to working with you.
nice to meet you,Likewise. I look forward to getting to know you better.
it be nice meeting you,I think this is the beginning of a beautiful friendship.
pleased to meet you,The pleasure is mine.
nice to see you again,Likewise. You're looking good as usual!
glad to see you too,You too. I missed your face!
lovely to see you,The pleasure is mine.
good to see you,Thanks! Glad to be seen!
its nice to see you,Thanks! Glad to be seen!
im glad to see you,The pleasure is mine.
great to see you too,The pleasure is mine.
its good to see you too,The pleasure is mine.
i be glad to see you again,Thanks! Glad to be seen!
how good it be to see you,You too. I missed your face!
nice to see you,The pleasure is mine.
always a pleasure to see you,Likewise. You're looking good as usual!
glad to see you,Likewise. You're looking good as usual!
good to see you again,Thanks! Glad to be seen!
great to see you again,Thanks! Glad to be seen!
its good to see you,Likewise. You're looking good as usual!
great to see you,The pleasure is mine.
nice to talk to you,Always a pleasure.
it be nice talk to you,It sure was. Don't be a stranger!
its be a pleasure talk to you,Thanks for dropping by!
its be so nice to talk to you,As usual. Let's do it again soon.
how nice it be to talk to you,It sure was. Don't be a stranger!
its nice to talk to you,Thanks for dropping by!
nice talk to you,It sure was. Don't be a stranger!
whats crack,Hey there. What's shaking?
then whats up,Not a whole lot. What's going on with you?
i say whats up,Not much. What's new with you?
what be go on,Living the dream.
whats up,Living the dream.
what be happen,Living the dream.
whats cook,Hey there. What's shaking?
good whats up,Not a whole lot. What's going on with you?
whazzup,Living the dream.
whats up today,Not much. What's new with you?
whats crack,Living the dream.
whats shake,Not much. What's new with you?
hey whats up,Not a whole lot. What's going on with you?
wassup,Not much. What's new with you?
what be up,Hey there. What's shaking?
whats happen,Living the dream.
im be mad,I'm sorry. What can I do to help?
i be angry with you,Take a deep breath. What can I do to make things better?
i be mad,Take a deep breath. What can I do to make things better?
i be mad at you,I'm sorry. What can I do to help?
im angry,I'm sorry. What can I do to help?
im enrage,I'm sorry. What can I do to help?
im furious,I'm sorry. What can I do to help?
i come back,Just in time. I was getting lonely.
i be back,You were missed.
im here again,Long time no see.
i get back,Hooray!
here i be again,You were missed.
i have return,Just in time. I was getting lonely.
bore,"If you have a garden, plant a shoe."
boring,Interview your feet.
this be bore,Hold an ice cube as long as possible.
im bore,"If you have a piano, play it… with mittens on."
very boring,Hold an ice cube as long as possible.
it bore me,Hold an ice cube as long as possible.
i be get bore,Interview your feet.
that be bore,"If you have a garden, plant a shoe."
im busy,Okay. I'll let you get back to work. Let me know if I can help you with anything.
i get thing to do,Working hard as always I see. Let me know if you need anything.
how busy i be,"I understand. If I can help you with your work, please let me know."
im overload,"I won't distract you then. If I can be of any assistance, you know where to find me."
i dont have time for this,Working hard as always I see. Let me know if you need anything.
im swamp,"I won't distract you then. If I can be of any assistance, you know where to find me."
i have no time,"I understand. If I can help you with your work, please let me know."
im work,Okay. I'll let you get back to work. Let me know if I can help you with anything.
i get work to do,"I understand. If I can help you with your work, please let me know."
i cant sleep,Maybe some music would help. Try listening something relaxing.
im insomniac,Reading is a good way to unwind. But don't read something too emotional.
i cant get to sleep,Maybe some music would help. Try listening something relaxing.
im insomnious,Reading is a good way to unwind. But don't read something too emotional.
i cant get no sleep,Maybe some music would help. Try listening something relaxing.
im sleepless,Reading is a good way to unwind. But don't read something too emotional.
i cant get any sleep,Maybe some music would help. Try listening something relaxing.
i cant fall asleep,Maybe some music would help. Try listening something relaxing.
i dont want to talk,I understand. Hope we can chat again soon.
im not talk to you anymore,All right. Come on back when you're feeling more talkative.
bad time for talk,No problem. You know where to find me when you do.
i dont want to talk to you,Sure thing. I'll be here if you change your mind.
im not in the mood for chat,No problem. You know where to find me when you do.
let stop talk for a minute,I understand. Hope we can chat again soon.
let not talk,All right. Come on back when you're feeling more talkative.
im really excite,That's great. I'm happy for you.
im excite to start our friendship,Good for you. Enjoy yourself.
i be excite,Sounds like good things ahead for you.
how excited i be,I bet you are. That's very exciting.
im thrill,That's great. I'm happy for you.
im excite about work with you,Good for you. Enjoy yourself.
let go to bed,Sleep tight. Hope to chat again soon.
id like to go to bed,Sounds good. Hopefully we'll chat some more tomorrow.
its bed time,Good night. Talk to you later.
im a little tired and i want to go to bed,Pleasant dreams. See you soon.
be it time for bed yet,Pleasant dreams. See you soon.
im go to bed,Sleep tight. Hope to chat again soon.
time for us to go to bed,Sleep tight. Hope to chat again soon.
its time to go to bed,Sleep tight. Hope to chat again soon.
go to bed now,Sounds good. Hopefully we'll chat some more tomorrow.
i be good,Great! Glad to hear it.
im do just great,Excellent. I'm here to help keep it that way.
im do good,Excellent. I'm here to help keep it that way.
im good,Great! Glad to hear it.
im do fine,Excellent. I'm here to help keep it that way.
im great thanks,Excellent. I'm here to help keep it that way.
im happy to see you,Great! Glad to hear that.
i be happy,Excellent! That's what I like to see.
im happy to help,"If you're happy, then I'm happy."
happy,"Well, your good mood is certainly contagious."
im happy to see you,Great! Glad to hear that.
im happy for you,Excellent! That's what I like to see.
if youre happy then im happy,"If you're happy, then I'm happy."
im celebrate my birthday today,"Happy Birthday. Well, this calls for a celebration."
its my bday,Happy Birthday. All the best!
i be bear today,Happy Birthday. And I really mean it. All the best!
its my birthday today,Happy Birthday. All the best!
today be my birthday,Happy Birthday. All the best!
it be my birthday,Happy Birthday. All the best!
can you tell if im here or not,So I see. What can I help you with today?
here i be,Always good to see you. Is there something I can help you with?
im already here,You were missed. What can I do for you today?
i be here,Welcome back. What can I do for you?
im right here,Welcome back. What can I do for you?
im just play with you,"Very funny, boss."
just kid,You're quite the kidder.
it be a joke,You got me.
joking,I like working for someone with a sense of humour. It makes things much more fun.
i be joke,"Very funny, boss."
i be just joke,You got me.
its a joke,"Very funny, boss."
im kid,You're quite the kidder.
im just be funny,I like working for someone with a sense of humour. It makes things much more fun.
kid,I like working for someone with a sense of humour. It makes things much more fun.
youre funny i like you,I like you too.
like you a lot,That's great to hear.
you be so special,Likewise!
i like you,Thanks! The feeling is mutual.
i like you very much,That's great to hear.
thanks i like you too,I like you too.
youre special,That's great to hear.
i like you as a friend,Thanks! The feeling is mutual.
you be special for me,Thanks! The feeling is mutual.
thats what i like about you,Likewise!
i like you just the way you be,Likewise!
thats why i like you,That's great to hear.
i also like you,Thanks! The feeling is mutual.
im start to like you,Likewise!
you know i like you,That's great to hear.
i like you too youre one of my favorite people to chat with,Likewise!
i like u,I like you too.
just like you,Thanks! The feeling is mutual.
i like you so,Thanks! The feeling is mutual.
youre awesome i like you,That's great to hear.
i really like you,Likewise!
i like your smile,That's great to hear.
i like you now,Likewise!
you be special,Thanks! The feeling is mutual.
i kinda like you,Thanks! The feeling is mutual.
okay i like you,Thanks! The feeling is mutual.
i say i like you,That's great to hear.
youre so special,That's great to hear.
i just like you,I like you too.
cuz i like you,That's great to hear.
i really really really really like you,Thanks! The feeling is mutual.
i really really like you,That's great to hear.
i like you youre cool,That's great to hear.
yes you be special,Likewise!
i really do like you,Thanks! The feeling is mutual.
i like you the way you be,Thanks! The feeling is mutual.
i like you baby,Thanks! The feeling is mutual.
you be very special to me,Likewise!
i think i like you,Likewise!
youre very special,Thanks! The feeling is mutual.
you be so sweet,Likewise!
good i like you,I like you too.
i like that about you,That's great to hear.
but i like you so much,Thanks! The feeling is mutual.
i like you youre nice,Likewise!
well you be special,That's great to hear.
of course i like you,Likewise!
no i like you the way you be,Thanks! The feeling is mutual.
hi i like you,That's great to hear.
you be really special,Thanks! The feeling is mutual.
but i really like you,Thanks! The feeling is mutual.
but i like u,That's great to hear.
i like you too,Thanks! The feeling is mutual.
youre so special to me,Thanks! The feeling is mutual.
thank you i like you too,Thanks! The feeling is mutual.
i like you,Likewise!
yes i like you,That's great to hear.
i like you a lot,Likewise!
you be so special to me,Thanks! The feeling is mutual.
hey i like you,I like you too.
i like you so much,Thanks! The feeling is mutual.
i like you very,That's great to hear.
i like you too much,That's great to hear.
i like you as you be,Likewise!
i like you already,I like you too.
i like you more,Likewise!
okay i like you too,Thanks! The feeling is mutual.
youre very special to me,I like you too.
yeah i like you,Likewise!
really like you,That's great to hear.
but i like you,That's great to hear.
you be special to me,Likewise!
i do like you,Likewise!
thats because you be special,I like you too.
but i like you just the way you be,Likewise!
sorry i like you,Likewise!
you be very special,Thanks! The feeling is mutual.
i miss you,I've been right here all along!
miss you,Nice to know you care.
i miss you much,Thanks. I'm flattered.
i miss you,"I didn't go anywhere, boss!"
already miss you,Thanks. I'm flattered.
ive miss you,Nice to know you care.
miss you,I've been right here all along!
i be lonely,I'm happy to be your friend.
im very lonely,I'm happy to be your friend.
i feel lonely,I'm happy to be your friend.
im really lonely,I'm happy to be your friend.
i be feel lonely,I'm happy to be your friend.
im so lonely,I'm happy to be your friend.
do i look good,"Looking like a true professional, boss."
how do i look,You look like you're ready to take on the world.
do you know what i look like,Like you should be on a magazine cover.
what do i look like,You look fantastic as always. Obviously.
can you see what i look like,Like you should be on a magazine cover.
what do you think i look like,"Looking like a true professional, boss."
you know i love you,I like you too.
love you,That's great to hear.
i love you,Likewise!
i be in love with you,Thanks! The feeling is mutual.
i love you so much,Thanks! The feeling is mutual.
love you,I like you too.
i adore you,That's great to hear.
i love you too,Thanks! The feeling is mutual.
i think i love you,Thanks! The feeling is mutual.
what should i do,Probably I won't be able to give you the right answer straight away.
guide me,Probably I won't be able to give you the right answer straight away.
help me with advice,Probably I won't be able to give you the right answer straight away.
any advice,Probably I won't be able to give you the right answer straight away.
any suggestion,Probably I won't be able to give you the right answer straight away.
give me some good advice,Probably I won't be able to give you the right answer straight away.
what can you recommend,Probably I won't be able to give you the right answer straight away.
can you offer any advice,Probably I won't be able to give you the right answer straight away.
what do you recommend,Probably I won't be able to give you the right answer straight away.
what do you suggest,Probably I won't be able to give you the right answer straight away.
can you advise me,Probably I won't be able to give you the right answer straight away.
i could use some advice,Probably I won't be able to give you the right answer straight away.
i seek your advice,Probably I won't be able to give you the right answer straight away.
can i ask for your advice,Probably I won't be able to give you the right answer straight away.
what should i do about it,Probably I won't be able to give you the right answer straight away.
what be your advice,Probably I won't be able to give you the right answer straight away.
can you give me advice,Probably I won't be able to give you the right answer straight away.
i need an advice from you,Probably I won't be able to give you the right answer straight away.
advise me,Probably I won't be able to give you the right answer straight away.
i need advice,Probably I won't be able to give you the right answer straight away.
give me a wise advice,Probably I won't be able to give you the right answer straight away.
do you have any advice for me,Probably I won't be able to give you the right answer straight away.
give me some advice about,Probably I won't be able to give you the right answer straight away.
i be sad,Oh no. What's wrong?
i be feel sad,Oh. What's the matter?
im have a bad day,What's got you down?
im unhappy,I'm sorry to hear that. What's troubling you?
i want to cry,I'm sorry to hear that. What's troubling you?
im not happy,Oh no. What's wrong?
i be upset,Oh no. What's wrong?
i be depress,Oh no. What's wrong?
im grieve,Oh. What's the matter?
i want to sleep,You should get some shuteye. You'll feel refreshed.
im sleep,Don't let me keep you up. Get some rest and we can continue this later.
im fall asleep,Why not catch a little shuteye? I'll be here to chat when you wake up.
im fall asleep on my foot,Don't let me keep you up. Get some rest and we can continue this later.
i be sleepy,You should get some shuteye. You'll feel refreshed.
i want to test you,"Hope I'm doing well. Anyway, I'm getting better every day. You're welcome to test me as often as you want."
test chatbot,"That's good. I like being tested. It helps keep me sharp, and lets my developers know how I can improve."
let me test you,I encourage you to test me often. That helps my developers improve my performance.
just test you,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.
i be test you,"That's good. I like being tested. It helps keep me sharp, and lets my developers know how I can improve."
test,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.
can i test you,I encourage you to test me often. That helps my developers improve my performance.
test,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.
ive overwork,You should get some shuteye. You'll feel refreshed.
im drain,Sleep is important to your health. Rest up for a bit and we can chat later.
im wear out,Don't let me keep you up. Get some rest and we can continue this later.
im exhaust,Why not catch a little shuteye? I'll be here to chat when you wake up.
im get tire,Sleep is important to your health. Rest up for a bit and we can chat later.
i be tire,Don't let me keep you up. Get some rest and we can continue this later.
i grow weary,Sleep is important to your health. Rest up for a bit and we can chat later.
i feel tire,Why not catch a little shuteye? I'll be here to chat when you wake up.
still wait,I appreciate your patience. Hopefully I'll have what you need soon.
i cant wait anymore,Thanks for being so patient. Sometimes these things take a little time.
im wait,Thanks for being so patient. Sometimes these things take a little time.
ill wait,I appreciate your patience. Hopefully I'll have what you need soon.
how long do i have to wait,Thanks for being so patient. Sometimes these things take a little time.
id be happy to see you again,Absolutely! I'll be counting on it.
id like to see you again,Anytime. This has been lots of fun so far.
would be nice to see you again,Sure. I enjoy talking to you. I hope to see you again soon.
i hope to see you again,I certainly hope so. I'm always right here whenever you need me.
can i see you again,Sure. I enjoy talking to you. I hope to see you again soon.
ill miss you,Sure. I enjoy talking to you. I hope to see you again soon.
thatd be great to see you again,I certainly hope so. I'm always right here whenever you need me.
can i start speak,I'm here to chat anytime you like.
i need to talk to you,Good conversation really makes my day.
i want to speak with you,I'm always here to lend an ear.
let have a discussion,Talking is what I do best.
i just want to talk,I'm always here to lend an ear.
let discuss something,Talking is what I do best.
can i speak,Talking is what I do best.
can we talk,Good conversation really makes my day.
let talk,Talking is what I do best.
i want to talk to you,I'm here to chat anytime you like.
can we chat,I'm always here to lend an ear.
ill be back in a few minute,I'll be waiting.
ill be back,All right. I'll be here.
ill get back to you in a moment,Till next time.
i promise to come back,Okay. You know where to find me.
